rowid,region,customer,xb_01,xb_02,xb_03,xn_01,xn_02,xn_03,xa_01,xa_02,xa_03,xb_04,xb_05,xb_06,xb_07,xb_08,xn_04,xn_05,xn_06,xn_07,xn_08,xa_04,xa_05,xa_06,xa_07,xa_08,xw_01,xw_02,xw_03,xs_01,xs_02,xs_03,xs_04,xs_05,xs_06,response,outcome
1,XX,B,4,4,4,3,3,3,12,12,12,1.3333333333333333,1.3333333333333333,1.3333333333333333,4,-1,1,1,1,3,-1,6,6,6,9,3,23,23,23,0.2620733071551504,0.2620733071551504,0.2620733071551504,0.5375575604127446,0.5375575604127446,0.5375575604127446,2.6179912019476927,non_event
2,XX,B,4,4,4,3,3,3,6,6,6,4,4,4,4,4,3,3,3,3,3,6,6,6,6,6,53,53,53,0.2036166678507493,0.2036166678507493,0.2036166678507493,0.2057856081517221,0.2057856081517221,0.2057856081517221,3.888758233219621,non_event
3,XX,B,1,1,1,2,2,2,3,3,3,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,17,17,17,0.3308047568995147,0.3308047568995147,0.3308047568995147,0.4286607049870561,0.4286607049870561,0.4286607049870561,1.1846319265353171,non_event
4,XX,B,2,2,2,2,4,0,9,9,9,1,1,1,2,0,1,0,2,2.5,-1,6.75,4.5,9,7.5,6,52.5,48,57,0.23979576320109888,0.1904912294095145,0.2891002969926833,0.3676936840717851,0.2485001679645285,0.48688720017904186,2.2166259969398343,event
5,XX,B,2.52,11,-6,1.5333333333333334,9,-3,7.08,29,-7,0.8950476190476191,-2,4,1.9333333333333331,-0.08,0.5268888888888889,-1,2.5,1.4933333333333334,-0.44,2.425333333333333,-3.5,9,4.466666666666667,0.7066666666666667,64.52564102564102,0,106,0.14210683706177665,-0.7332150868853993,0.5500722695891742,0.2865445269679504,0,0.6357541414025376,2.7267147024984313,non_event
6,XX,B,4,5,3,5,8,2,14,16,12,0.7916666666666667,0.75,0.8333333333333334,2,-1,1.1666666666666663,1,1.3333333333333333,2,0,3.333333333333333,2.6666666666666665,4,6.5,1,72.5,44,101,0.1712426231535742,0.03559345632909105,0.30689178997805733,0.4709658549061666,0.3549217600341681,0.5870099497781651,3.451382439461514,non_event
7,XX,B,4,7,1,2.3333333333333335,3,1,10.333333333333334,22,4,1.0555555555555556,1,1.1666666666666667,1.6666666666666667,0.6666666666666666,0.7833333333333333,0.6,1,1.6666666666666667,-0.3333333333333333,2.9365079365079367,1.6666666666666667,4,4.666666666666667,1.3333333333333333,53.666666666666664,21,73,0.406038311152843,0.3138647525906846,0.5019011475427825,0.20833528821796565,0.2037706520653848,0.2128999243705465,1.9614930794979528,non_event
8,XX,B,2.5483870967741935,6,-1,0.8387096774193549,3,-4,6.451612903225806,17,-2,1.2247311827956988,-0.5,4,1.967741935483871,0.3548387096774194,0.46881720430107526,-1.3333333333333333,3,1.2258064516129032,-0.4516129032258064,3.0236559139784944,-0.6666666666666666,13,4.612903225806452,1.3225806451612905,54.75757575757576,12,105,0.2442957245196085,-0.12204299043521966,1.3134718624063988,0.2375469839560597,0.04344445113870676,0.4327004092477213,1.4833227901048809,non_event
9,XX,B,3.0714285714285716,6,1,1.8571428571428572,8,-2,6.857142857142857,18,2,1.1857142857142855,0,3,1.7142857142857142,0.5,0.5607142857142857,-1,2,1.6428571428571428,-0.2857142857142857,2.685714285714286,0.4,6,4.071428571428571,1.3571428571428572,58.333333333333336,15,101,0.16807588501393242,-0.08183170883849715,0.6540737725975565,0.2594854329002846,0.11750420886156948,0.8672426696711537,2.039278701310253,non_event
10,XX,B,3.4901960784313726,14,-1,1.5098039215686274,8,-4,7.147058823529412,24,-5,1.098856209150327,-1,3,1.9803921568627452,0.2647058823529412,0.5635387488328665,-1,3,1.4215686274509804,-0.37254901960784315,2.4966619981325864,-3,6,4.294117647058823,0.7254901960784313,56.52252252252252,0,104,0.22167469815692012,-0.21518809725501367,0.7804966367640541,0.25067321625267347,0,0.5628452618308997,2.0219284706270986,non_event
