rowid,region,customer,xb_01,xb_02,xb_03,xn_01,xn_02,xn_03,xa_01,xa_02,xa_03,xb_04,xb_05,xb_06,xb_07,xb_08,xn_04,xn_05,xn_06,xn_07,xn_08,xa_04,xa_05,xa_06,xa_07,xa_08,xw_01,xw_02,xw_03,xs_01,xs_02,xs_03,xs_04,xs_05,xs_06,response,outcome
1,XX,B,4,4,4,3,3,3,12,12,12,1.3333333333333333,1.3333333333333333,1.3333333333333333,4,-1,1,1,1,3,-1,6,6,6,9,3,23,23,23,0.2620733071551504,0.2620733071551504,0.2620733071551504,0.5375575604127446,0.5375575604127446,0.5375575604127446,2.6179912019476927,non_event
3,XX,B,1,1,1,2,2,2,3,3,3,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,17,17,17,0.3308047568995147,0.3308047568995147,0.3308047568995147,0.4286607049870561,0.4286607049870561,0.4286607049870561,1.1846319265353171,non_event
4,XX,B,2,2,2,2,4,0,9,9,9,1,1,1,2,0,1,0,2,2.5,-1,6.75,4.5,9,7.5,6,52.5,48,57,0.23979576320109888,0.1904912294095145,0.2891002969926833,0.3676936840717851,0.2485001679645285,0.48688720017904186,2.2166259969398343,event
5,XX,B,2.52,11,-6,1.5333333333333334,9,-3,7.08,29,-7,0.8950476190476191,-2,4,1.9333333333333331,-0.08,0.5268888888888889,-1,2.5,1.4933333333333334,-0.44,2.425333333333333,-3.5,9,4.466666666666667,0.7066666666666667,64.52564102564102,0,106,0.14210683706177665,-0.7332150868853993,0.5500722695891742,0.2865445269679504,0,0.6357541414025376,2.7267147024984313,non_event
8,XX,B,2.5483870967741935,6,-1,0.8387096774193549,3,-4,6.451612903225806,17,-2,1.2247311827956988,-0.5,4,1.967741935483871,0.3548387096774194,0.46881720430107526,-1.3333333333333333,3,1.2258064516129032,-0.4516129032258064,3.0236559139784944,-0.6666666666666666,13,4.612903225806452,1.3225806451612905,54.75757575757576,12,105,0.2442957245196085,-0.12204299043521966,1.3134718624063988,0.2375469839560597,0.04344445113870676,0.4327004092477213,1.4833227901048809,non_event
9,XX,B,3.0714285714285716,6,1,1.8571428571428572,8,-2,6.857142857142857,18,2,1.1857142857142855,0,3,1.7142857142857142,0.5,0.5607142857142857,-1,2,1.6428571428571428,-0.2857142857142857,2.685714285714286,0.4,6,4.071428571428571,1.3571428571428572,58.333333333333336,15,101,0.16807588501393242,-0.08183170883849715,0.6540737725975565,0.2594854329002846,0.11750420886156948,0.8672426696711537,2.039278701310253,non_event
11,XX,B,3.088235294117647,10,-4,1.5133689839572193,6,-5,7.660427807486631,24,-9,1.028087598675834,-2,6,1.9759358288770053,0.02941176470588235,0.5101285968933028,-2.5,4,1.3475935828877006,-0.39037433155080214,2.79816653934301,-8,16,4.473262032085562,1.0989304812834224,60.07575757575758,0,107,0.1870839285271204,-0.4502906027931481,1.3336546672859413,0.27998716851408817,0.00299153207185377,1.0685140788830805,1.6656319933674415,non_event
14,XX,B,3.71191135734072,12,-4,1.5900277008310248,10,-6,8.157894736842104,27,-5,1.265815855428044,-2,6,2.2465373961218837,0.25761772853185594,0.5654772897155168,-2.5,4,1.4321329639889198,-0.3296398891966759,3.0310480147737766,-2,14,4.806094182825484,1.185595567867036,61.13953488372093,0,109,0.214683190283215,-0.392110351338819,1.405,0.277353453864128,1.423024947075772e-4,0.7361474348183491,2.536072799357454,non_event
15,XX,B,2.6956521739130435,9,-2,1.173913043478261,10,-3,6.891304347826087,20,-3,0.9063664596273292,-1,4,1.7173913043478262,0.0217391304347826,0.4773809523809524,-1.5,3,1.2391304347826086,-0.3695652173913043,2.3463768115942027,-3,6,4.130434782608695,0.6956521739130435,58.46,0,109,0.1857702736311548,-0.16453061902874855,0.5930046312941298,0.28323775645494426,0,0.7979882173098723,2.3712468876662505,non_event
16,XX,B,2.82,10,-4,1.02,4,-5,7.14,19,-3,0.9446666666666668,-1.3333333333333333,3,1.86,0.06,0.4222698412698413,-1,2,1.3,-0.6,2.4873333333333334,-1,6,4.12,0.74,67.33333333333333,7,104,0.18206916892589625,-0.45371388937801976,0.8198373822492687,0.2687913615062495,0.00424733198733818,0.5914116295355627,2.706302055180679,non_event
